humidity is 58.799999 , stationId = 4
humidity is 59.599998 , stationId = 4
humidity is 59.500000 , stationId = 4
humidity is 58.900002 , stationId = 4
humidity is 60.099998 , stationId = 4
humidity is 58.599998 , stationId = 4
humidity is 60.799999 , stationId = 4
humidity is 60.400002 , stationId = 4
humidity is 61.099998 , stationId = 4
humidity is 59.500000 , stationId = 4
humidity is 60.200001 , stationId = 4
humidity is 60.599998 , stationId = 4
humidity is 59.500000 , stationId = 4
humidity is 61.299999 , stationId = 4
humidity is 60.200001 , stationId = 4
humidity is 61.200001 , stationId = 4
humidity is 60.200001 , stationId = 4
humidity is 60.900002 , stationId = 4
humidity is 60.400002 , stationId = 4
humidity is 61.299999 , stationId = 4
humidity is 60.200001 , stationId = 4
humidity is 59.799999 , stationId = 4
humidity is 60.799999 , stationId = 4
humidity is 60.000000 , stationId = 4
humidity is 59.299999 , stationId = 4
humidity is 60.099998 , stationId = 4
humidity is 61.000000 , stationId = 4
humidity is 61.200001 , stationId = 4
humidity is 59.099998 , stationId = 4
humidity is 61.799999 , stationId = 4
humidity is 60.000000 , stationId = 4
humidity is 60.900002 , stationId = 4
humidity is 60.500000 , stationId = 4
humidity is 61.000000 , stationId = 4
humidity is 59.700001 , stationId = 4
humidity is 60.099998 , stationId = 4
humidity is 60.099998 , stationId = 4
humidity is 61.799999 , stationId = 4
humidity is 60.500000 , stationId = 4
humidity is 59.400002 , stationId = 4
humidity is 59.599998 , stationId = 4
humidity is 60.700001 , stationId = 4
humidity is 59.700001 , stationId = 4
humidity is 59.400002 , stationId = 4
humidity is 59.900002 , stationId = 4
humidity is 60.700001 , stationId = 4
humidity is 61.700001 , stationId = 4
humidity is 62.099998 , stationId = 4
humidity is 60.700001 , stationId = 4
humidity is 60.799999 , stationId = 4
humidity is 60.799999 , stationId = 4
humidity is 60.599998 , stationId = 4
humidity is 61.200001 , stationId = 4
humidity is 60.799999 , stationId = 4
humidity is 61.000000 , stationId = 4
humidity is 61.900002 , stationId = 4
humidity is 61.900002 , stationId = 4
humidity is 59.500000 , stationId = 4
humidity is 60.099998 , stationId = 4
humidity is 61.000000 , stationId = 4
humidity is 61.900002 , stationId = 4
humidity is 59.900002 , stationId = 4
humidity is 60.700001 , stationId = 4
humidity is 61.799999 , stationId = 4
humidity is 61.400002 , stationId = 4
humidity is 62.000000 , stationId = 4
humidity is 61.900002 , stationId = 4
humidity is 61.400002 , stationId = 4
humidity is 60.000000 , stationId = 4
humidity is 60.099998 , stationId = 4
humidity is 62.000000 , stationId = 4
humidity is 61.700001 , stationId = 4
humidity is 60.400002 , stationId = 4
humidity is 61.400002 , stationId = 4
humidity is 60.700001 , stationId = 4
humidity is 60.599998 , stationId = 4
humidity is 61.599998 , stationId = 4
humidity is 59.700001 , stationId = 4
humidity is 61.000000 , stationId = 4
humidity is 61.900002 , stationId = 4
humidity is 61.500000 , stationId = 4
humidity is 59.900002 , stationId = 4
humidity is 62.000000 , stationId = 4
humidity is 60.500000 , stationId = 4
humidity is 61.700001 , stationId = 4
humidity is 61.000000 , stationId = 4
humidity is 61.299999 , stationId = 4
humidity is 60.400002 , stationId = 4
humidity is 62.400002 , stationId = 4
humidity is 62.200001 , stationId = 4
humidity is 60.400002 , stationId = 4
humidity is 62.099998 , stationId = 4
humidity is 61.299999 , stationId = 4
